EffectType,EnumName,旧TargetType,旧TargetFilter,旧DurationType,旧Turns,新TargetKinds,新Filter,新SelectionMode,Polarity,备注
DealDamage,造成伤害,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
Heal,回复生命,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
PierceDamage,穿透伤害,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
DrainLife,吸取生命,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
Poison,剧毒,(已迁移),Mortal,(已上移),,"0,1",Mortal,None,-1.0,幂等重推（极性补值）
DrawCard,抽卡,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
DiscardCard,弃牌,(已迁移),,(已上移),,5,(空),None,-1.0,幂等重推（极性补值）
ReturnToHand,返回手牌,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
Exile,除外,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
ShuffleIntoDeck,洗入牌库,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
SearchDeck,检索牌库,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
BounceToTop,弹回牌库顶,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
BounceToBottom,弹回牌库底,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
ReturnFromGraveyard,苏生,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
LookAtTopCards,查看牌库顶,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
ModifyPower,修改攻击力,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
ModifyLife,修改生命值,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
SetPower,设置攻击力,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
SetLife,设置生命值,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
SetCost,设置费用,(已迁移),,(已上移),,"4,5",(空),None,0.0,幂等重推（极性补值）
ModifyCost,修改费用,(已迁移),,(已上移),,"4,5",(空),None,0.0,幂等重推（极性补值）
AddCostUp,费用增加,(已迁移),,(已上移),,"4,5",(空),None,0.0,幂等重推（极性补值）
AddCostDown,费用减少,(已迁移),,(已上移),,"4,5",(空),None,0.0,幂等重推（极性补值）
AddPowerUp,攻击力增加,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
AddPowerDown,攻击力减少,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
AddLifeUp,生命值增加,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
AddLifeDown,生命值减少,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
AddPlusOne,属性增加,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
AddMinusOne,属性减少,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
Weaken,虚弱,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
Inspire,鼓舞,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantDoubleStrike,连击,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantPoisonSting,毒刺,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantLifesteal,吸血,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantStealth,潜行,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantTaunt,嘲讽,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantDivineShield,圣盾,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantOverwhelm,碾压,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantArmor,坚韧,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
DeclareHand,宣言确认手牌,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
DeclareDeckTop,宣言验牌库顶,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
DeclareArrow,宣言箭头,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
ProphecyNextCard,预言下回合首张,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
GrantVigilance,警戒,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantFirstStrike,先攻,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantSpellShield,法术护盾,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantCannotBeTargeted,辟邪,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantReborn,复生,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantIndestructible,不灭,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantLifelink,系命,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantRegeneration,再生,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
GrantGrowth,成长,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
AddArmor,护甲,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
AddToxin,毒素,(已迁移),Mortal,(已上移),,"0,1",Mortal,None,-1.0,幂等重推（极性补值）
Silence,沉默,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
AddNullify,无效,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
Untap,激励,(已迁移),"NoRole,Tapped",(已上移),,0,"NoRole,Tapped",None,1.0,幂等重推（极性补值）
GrantDisarm,缴械,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,1.0,幂等重推（极性补值）
DealCombatDamage,战斗伤害,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
LifeLoss,生命流失,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
FreezePermanent,冻结,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
RushSickness,紊乱,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
AddVulnerable,易损,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
Tap,横置,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
GainControl,获得控制,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,-1.0,幂等重推（极性补值）
ChangeOwner,变更所有者,(已迁移),NoRole,(已上移),,"0,1",NoRole,None,0.0,幂等重推（极性补值）
NegateActivation,无效发动,(已迁移),,(已上移),,"14,15",(空),None,-1.0,幂等重推（极性补值）
Purify,净化,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
RedirectTarget,转移目标,(已迁移),,(已上移),,"0,1",(空),None,-1.0,幂等重推（极性补值）
ScryCards,占卜,(已迁移),,(已上移),,"0,1",(空),None,0.0,幂等重推（极性补值）
MillCard,送墓,(已迁移),,(已上移),,7,(空),None,-1.0,幂等重推（极性补值）
RecoverToHand,回收,(已迁移),,(已上移),,"8,9",(空),None,1.0,幂等重推（极性补值）
TakeExtraTurn,额外回合,(已迁移),,(已上移),,"0,1",(空),None,1.0,幂等重推（极性补值）
