================================================================================
炉石传说 & 万智牌 未归类效果
================================================================================

【炉石传说未归类效果】
----------------------------------------
共 2160 张卡牌未归类

1. 女巫森林灰熊
   费用: 5
   效果: 嘲讽。战吼：你的对手每有一张手牌，本随从便失去1点生命值。...

2. 林地生态学者
   费用: 1
   效果: 亡语：获取一张法力值消耗为（1）的神圣法术牌，该牌可以使一个随从获得+2或-2生命值。...

3. 殊死一搏
   费用: 2
   效果: 使一个随从获得“亡语：回到战场，并具有1点生命值。”...

4. 永时收割者哈斯克
   费用: 4
   效果: 战吼：使你的英雄获得“亡语：消耗最多20份残骸，复活你的英雄并使其具有等量生命值。”...

5. 复活的奥妮克希亚
   费用: 9
   效果: 巨型+2当你的英雄在你的回合即将失去生命值时，改为获得等量的生命值上限。...

6. 禁忌仪式
   费用: 0
   效果: 消耗你所有的法力值，召唤相同数量的1/1的触须。...

7. 海洋咒符
   费用: 1
   效果: 在你的下个回合开始时，召唤一个3/3并具有嘲讽的纳迦。...

8. 跳虫
   费用: 1
   效果: 战吼：召唤一个1/1的跳虫。...

9. 当日渔获
   费用: 1
   效果: 突袭。战吼：为你的对手召唤一只2/1的鱼虫。...

10. 潜踪群蛇
   费用: 1
   效果: 召唤两条1/1并具有潜行的蛇。...

11. 青玉游荡者
   费用: 1
   效果: 潜行，亡语：召唤一个1/1的青玉魔像。...

12. 林木幼苗
   费用: 1
   效果: 召唤两个1/1的树苗。（2回合后长成）...

13. 旗标骷髅
   费用: 1
   效果: 在你的英雄攻击后，召唤一个1/1的亡灵海盗。...

14. 骨鸡蛋
   费用: 1
   效果: 亡语：召唤一只3/3的亡灵小鸡。...

15. 盘桓僵尸
   费用: 1
   效果: 亡语：召唤一个1/1并具有“亡语：召唤一个1/1的僵尸”的徒手僵尸。...

16. 图腾物证
   费用: 1
   效果: 选择一个基础图腾并召唤它。注能（3个图腾）：改为召唤全部4个。...

17. 狂蝠来宾
   费用: 1
   效果: 亡语：召唤一只2/1的蝙蝠。...

18. 岩石海底
   费用: 1
   效果: 召唤一个1/1的鱼人，然后探底。如果选中的是鱼人牌，则再召唤一个。...

19. 深铁穴居人
   费用: 1
   效果: 在你的对手施放一个法术后，召唤另一个深铁穴居人。...

20. 孵化池觅食者
   费用: 1
   效果: 亡语：召唤一个1/1的鱼人宝宝。...

21. 恶魔伙伴
   费用: 1
   效果: 随机召唤一个恶魔伙伴。...

22. 被禁锢的阳鳃鱼人
   费用: 1
   效果: 休眠2回合。唤醒时，召唤两个1/1的鱼人。...

23. 魔古信徒
   费用: 1
